Date,City,State,AreaType,School Type,Fatalities,Wounded,Month,Year,Day of Week,Region,Severity
2/22/2014,Augusta,Georgia,urban,College,0,1,February,2014,Saturday,South,Low
3/12/2014,Miami,Florida,urban,Elementry School,1,0,March,2014,Wednesday,South,Low
3/25/2014,College Park,Georgia,urban,High School,0,0,March,2014,Tuesday,South,Low
4/9/2014,Greenville,North Carolina,urban,High School,0,0,April,2014,Wednesday,South,Low
4/11/2014,Detroit,Michigan,urban,High School,1,0,April,2014,Friday,Midwest,Low
5/4/2014,Augusta,Georgia,urban,College,0,1,May,2014,Sunday,South,Low
5/5/2014,Augusta,Georgia,urban,College,0,1,May,2014,Monday,South,Low
5/8/2014,Lawrenceville,Georgia,suburban,College,0,1,May,2014,Thursday,South,Low
5/14/2014,Richmond,California,urban,High School,0,1,May,2014,Wednesday,West,Low
6/5/2014,Seattle,Washington,urban,College,1,2,June,2014,Thursday,West,Medium
6/10/2014,Troutdale,Oregon,suburban,High School,2,1,June,2014,Tuesday,West,Medium
9/9/2014,Miami,Florida,urban,High School,0,1,September,2014,Tuesday,South,Low
9/27/2014,Terre Haute,Indiana,urban,College,0,1,September,2014,Saturday,Midwest,Low
9/30/2014,Albemarle,North Carolina,rural,High School,0,1,September,2014,Tuesday,South,Low
9/30/2014,Louisville,Kentucky,urban,High School,0,1,September,2014,Tuesday,South,Low
10/3/2014,Fairburn,Georgia,suburban,High School,1,0,October,2014,Friday,South,Low
10/24/2014,Marysville,Washington,suburban,High School,5,1,October,2014,Friday,West,High
11/20/2014,Tallahassee,Florida,urban,College,1,3,November,2014,Thursday,South,Medium
11/20/2014,Miami,Florida,urban,High School,1,1,November,2014,Thursday,South,Low
12/5/2014,Claremore,Oklahoma,rural,College,1,0,December,2014,Friday,South,Low
12/12/2014,Portland,Oregon,urban,High School,0,4,December,2014,Friday,West,Medium
1/15/2015,Milwaukee,Wisconsin,urban,High School,0,3,January,2015,Thursday,Midwest,Medium
1/16/2015,Ocala,Florida,suburban,High School,0,2,January,2015,Friday,South,Low
2/4/2015,Frederick,Maryland,suburban,High School,0,2,February,2015,Wednesday,South,Low
2/14/2015,Merced,California,suburban,Middle School,1,0,February,2015,Saturday,West,Low
2/23/2015,Daytona Beach,Florida,urban,College,0,3,February,2015,Monday,South,Medium
3/30/2015,University City,Missouri,urban,Elementry School,0,1,March,2015,Monday,Midwest,Low
4/13/2015,Goldsboro,North Carolina,rural,College,1,0,April,2015,Tuesday,South,Low
4/16/2015,Paradis,Louisiana,rural,Middle School,0,1,April,2015,Thursday,South,Low
4/27/2015,Lacey,Washington,suburban,High School,0,0,April,2015,Sunday,West,Low
5/12/2015,Jacksonville,Florida,urban,High School,0,2,May,2015,Sunday,South,Low
5/24/2015,Flint,Michigan,urban,High School,0,7,May,2015,Tuesday,Midwest,High
8/27/2015,Savannah,Georgia,urban,College,1,0,August,2015,Tuesday,South,Low
9/3/2015,Sacramento,California,urban,College,1,2,September,2015,Wednesday,West,Medium
9/14/2015,Cleveland,Mississippi,rural,College,2,0,September,2015,Monday,South,Low
9/30/2015,Harrisburg,South Dakota,rural,High School,0,1,September,2015,Tuesday,Midwest,Low
10/1/2015,Roseburg,Oregon,rural,College,10,9,October,2015,Wednesday,West,High
10/9/2015,Flagstaff,Arizona,urban,College,1,3,October,2015,Tuesday,West,Medium
10/9/2015,Houston,Texas,urban,College,1,1,October,2015,Friday,South,Low
10/22/2015,Nashville,Tennessee,urban,College,1,3,October,2015,Thursday,South,Medium
11/1/2015,Winston-Salem,North Carolina,urban,College,1,1,November,2015,Monday,South,Low
11/20/2015,North Las Vegas,Nevada,urban,High School,1,0,November,2015,Thursday,West,Low
1/22/2016,Indianapolis,Indiana,urban,High School,0,1,January,2016,Friday,Midwest,Low
1/29/2016,Philadelphia,Pennsylvania,urban,High School,0,0,January,2016,Wednesday,Northeast,Low
2/9/2016,Muskegon Heights,Michigan,urban,High School,0,4,February,2016,Tuesday,Midwest,Medium
2/12/2016,Glendale,Arizona,suburban,High School,2,0,February,2016,Wednesday,West,Low
2/29/2016,Middletown,Ohio,suburban,High School,0,4,February,2016,Monday,Midwest,Medium
4/23/2016,Antigo,Wisconsin,rural,High School,1,2,April,2016,Friday,Midwest,Medium
6/1/2016,Los Angeles,California,urban,College,2,0,June,2016,Thursday,West,Low
6/8/2016,Dorchester,Massachusetts,urban,High School,1,3,June,2016,Wednesday,Northeast,Medium
9/6/2016,Cedar Rapids,Iowa,urban,High School,1,0,September,2016,Friday,Midwest,Low
9/9/2016,Alpine,Texas,rural,High School,1,2,September,2016,Monday,South,Medium
9/28/2016,Townville,South Carolina,rural,Elementry School,2,2,September,2016,Wednesday,South,Medium
10/11/2016,Mobile,Alabama,urban,High School,0,1,October,2016,Monday,South,Low
10/13/2016,Columbus,Ohio,urban,High School,0,2,October,2016,Monday,Midwest,Low
10/18/2016,San Francisco,California,urban,High School,0,4,October,2016,Wednesday,West,Medium
10/25/2016,Sandy,Utah,suburban,Middle School,0,1,October,2016,Tuesday,West,Low
12/1/2016,Bountiful,Utah,suburban,Middle School,0,0,December,2016,Friday,West,Low
1/20/2017,West Liberty,Ohio,rural,High School,0,1,January,2017,Monday,Midwest,Low
1/20/2017,Seattle,Washington,urban,College,0,1,January,2017,Friday,West,Low
3/21/2017,King City,California,rural,High School,0,1,March,2017,Friday,West,Low
4/10/2017,San Bernardino,California,urban,Elementry School,3,1,April,2017,Monday,West,Medium
5/4/2017,Irving,Texas,suburban,College,2,0,May,2017,Thursday,South,Low
9/13/2017,Rockford,Washington,rural,High School,1,3,September,2017,Thursday,West,Medium
9/20/2017,Mattoon,Illinois,rural,High School,0,1,September,2017,Monday,Midwest,Low
