Date,City,State,AreaType,School,Fatalities,Wounded,Month,Day of Week,Region,Severity
2/8/2005,Chicago,Illinois,urban,HS,0,1,February,Tuesday,Midwest,Low
3/2/2005,Dover,Tennessee,rural,HS,1,0,March,Wednesday,South,Low
3/21/2005,Red Lake,Minnesota,rural,HS,10,Unknown,March,Monday,Unknown,High
3/21/2005,Red Lake,Minnesota,rural,HS,10,7,March,Monday,Unknown,High
5/17/2005,Lower Allen Township,Pennsylvania,suburban,ES,1,Unknown,May,Tuesday,Northeast,Low
9/13/2005,Chicago,Illinois,urban,HS,0,Unknown,September,Tuesday,Midwest,Low
9/13/2005,Chicago,Illinois,urban,HS,0,1,September,Tuesday,Midwest,Low
11/8/2005,Jacksboro,Tennessee,rural,HS,1,Unknown,November,Tuesday,South,Low
11/8/2005,Jacksboro,Tennessee,rural,HS,1,2,November,Tuesday,South,Medium
1/13/2006,Birmingham,Alabama,urban,HS,1,Unknown,January,Friday,South,Low
1/13/2006,Longwood,Florida,suburban,MS,0,1,January,Friday,South,Low
1/15/2006,Longwood,Florida,suburban,MS,1,Unknown,January,Sunday,South,Low
2/23/2006,Roseburg,Oregon,suburban,HS,1,Unknown,February,Thursday,West,Low
2/23/2006,Roseburg,Oregon,rural,HS,0,1,February,Thursday,West,Low
3/14/2006,Reno,Nevada,urban,MS,0,Unknown,March,Tuesday,West,Low
3/14/2006,Reno,Nevada,urban,MS,0,2,March,Tuesday,West,Low
6/5/2006,Venice,California,suburban,HS,1,Unknown,June,Monday,West,Low
8/24/2006,Essex,Vermont,suburban,ES,2,Unknown,August,Thursday,Northeast,Low
8/24/2006,Essex Junction,Vermont,rural,ES,2,3,August,Thursday,Northeast,Medium
8/30/2006,Hillsborough,North Carolina,suburban,HS,3,Unknown,August,Wednesday,South,Medium
8/30/2006,Hillsborough,North Carolina,suburban,HS,0,2,August,Wednesday,South,Low
9/2/2006,Shepherdstown,West Virginia,suburban,C,2,Unknown,September,Saturday,Unknown,Low
9/2/2006,Shepherdstown,West Virginia,rural,C,3,0,September,Saturday,Unknown,Medium
9/17/2006,Pittsburgh,Pennsylvania,urban,C,0,Unknown,September,Sunday,Northeast,Low
9/17/2006,Pittsburgh,Pennsylvania,urban,C,0,5,September,Sunday,Northeast,Medium
9/27/2006,Bailey,Colorado,suburban,HS,1,Unknown,September,Wednesday,West,Low
9/27/2006,Bailey,Colorado,rural,HS,2,0,September,Wednesday,West,Low
9/29/2006,Cazenovia,Wisconsin,rural,HS,1,Unknown,September,Friday,Midwest,Low
